"Flat","Original","KB","Modified"
"hlooo__apps__controller-ui__ATTRIBUTIONS.md","hlooo\apps\controller-ui\ATTRIBUTIONS.md","0.3","2026-05-22"
"hlooo__apps__controller-ui__README.md","hlooo\apps\controller-ui\README.md","0.3","2026-05-22"
"hlooo__apps__controller-ui__guidelines__Guidelines.md","hlooo\apps\controller-ui\guidelines\Guidelines.md","2.5","2026-05-22"
"hlooo__apps__docs__AOA_REQUIREMENTS.md","hlooo\apps\docs\AOA_REQUIREMENTS.md","6.9","2026-06-18"
"hlooo__apps__docs__ARCHITECTURE.md","hlooo\apps\docs\ARCHITECTURE.md","16.5","2026-06-18"
"hlooo__apps__docs__GRX_ANDROID_WIRING.md","hlooo\apps\docs\GRX_ANDROID_WIRING.md","7.9","2026-06-29"
"hlooo__apps__docs__GRX_INTEGRATION.md","hlooo\apps\docs\GRX_INTEGRATION.md","4.8","2026-06-29"
"hlooo__apps__docs__GRX_PROTOCOL.md","hlooo\apps\docs\GRX_PROTOCOL.md","4","2026-06-29"
"hlooo__apps__docs__LOW_LATENCY_GUIDE.md","hlooo\apps\docs\LOW_LATENCY_GUIDE.md","4.8","2026-06-18"
"hlooo__apps__docs__README-Gamepad.md","hlooo\apps\docs\README-Gamepad.md","0.9","2026-06-18"
"hlooo__apps__docs__SETUP_AOA.md","hlooo\apps\docs\SETUP_AOA.md","4.3","2026-06-21"
"hlooo__apps__docs__SKILL.md","hlooo\apps\docs\SKILL.md","31.6","2026-08-13"
"hlooo__apps__GamepadOS-iOS__CHANGES_MAC.md","hlooo\apps\GamepadOS-iOS\CHANGES_MAC.md","6.6","2026-07-06"
"hlooo__apps__GamepadOS-iOS__IOS_PORT_SPEC.md","hlooo\apps\GamepadOS-iOS\IOS_PORT_SPEC.md","2.5","2026-07-05"
"hlooo__apps__GamepadOS-iOS__README_MAC_SETUP.md","hlooo\apps\GamepadOS-iOS\README_MAC_SETUP.md","4.1","2026-07-05"
"hlooo__apps__GamepadOS-iOS__spec__GRX_CLIENT.md","hlooo\apps\GamepadOS-iOS\spec\GRX_CLIENT.md","13.4","2026-07-05"
"hlooo__apps__GamepadOS-iOS__spec__JS_BRIDGE_USAGE.md","hlooo\apps\GamepadOS-iOS\spec\JS_BRIDGE_USAGE.md","13.9","2026-07-05"
"hlooo__apps__GamepadOS-iOS__spec__SENSORS_LIFECYCLE.md","hlooo\apps\GamepadOS-iOS\spec\SENSORS_LIFECYCLE.md","12.2","2026-07-05"
"hlooo__apps__GamepadOS-iOS__spec__WIRE_PROTOCOL.md","hlooo\apps\GamepadOS-iOS\spec\WIRE_PROTOCOL.md","16.3","2026-07-05"
"hlooo__apps__GamepadServer-linux__LINUX.md","hlooo\apps\GamepadServer-linux\LINUX.md","4.1","2026-07-06"
"hlooo__apps__GamepadServer-linux__PORT_NOTES.md","hlooo\apps\GamepadServer-linux\PORT_NOTES.md","3.1","2026-07-06"
"hlooo__apps__ios-client__IOS_PORT_SPEC.md","hlooo\apps\ios-client\IOS_PORT_SPEC.md","2.5","2026-07-06"
"hlooo__apps__ios-client__README_MAC_SETUP.md","hlooo\apps\ios-client\README_MAC_SETUP.md","4.1","2026-07-05"
"hlooo__apps__ios-client__spec__GRX_CLIENT.md","hlooo\apps\ios-client\spec\GRX_CLIENT.md","13.4","2026-07-06"
"hlooo__apps__ios-client__spec__JS_BRIDGE_USAGE.md","hlooo\apps\ios-client\spec\JS_BRIDGE_USAGE.md","13.9","2026-07-06"
"hlooo__apps__ios-client__spec__SENSORS_LIFECYCLE.md","hlooo\apps\ios-client\spec\SENSORS_LIFECYCLE.md","12.2","2026-07-06"
"hlooo__apps__ios-client__spec__WIRE_PROTOCOL.md","hlooo\apps\ios-client\spec\WIRE_PROTOCOL.md","16.3","2026-07-06"
"hlooo__apps__pc-server__SETUP.md","hlooo\apps\pc-server\SETUP.md","2","2026-06-01"
"hlooo__apps__pc-server__UPDATE_TROUBLESHOOTING.md","hlooo\apps\pc-server\UPDATE_TROUBLESHOOTING.md","2.6","2026-07-26"
"hlooo__apps__pc-server-rs__README.md","hlooo\apps\pc-server-rs\README.md","15.7","2026-07-21"
"hlooo__docs__REGRESSION_CHECKLIST.md","hlooo\docs\REGRESSION_CHECKLIST.md","23.6","2026-07-21"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-04.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-04.md","13.4","2026-07-06"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-11.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-11.md","6.7","2026-07-11"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-20.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-20.md","9.8","2026-07-20"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-20B-gyrofix.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-20B-gyrofix.md","6.6","2026-07-20"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-20C-phase3.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-20C-phase3.md","13.7","2026-07-21"
"hlooo__docs__handoffs__SESSION_HANDOFF_2026-07-21.md","hlooo\docs\handoffs\SESSION_HANDOFF_2026-07-21.md","9.3","2026-07-21"
"hlooo__docs__notes__ERRATA_2026-07-12.md","hlooo\docs\notes\ERRATA_2026-07-12.md","6.7","2026-07-26"
"hlooo__docs__notes__GamepadOS_Study_Plan.md","hlooo\docs\notes\GamepadOS_Study_Plan.md","93.2","2026-07-17"
"hlooo__docs__notes__ios-design-system-reference.md","hlooo\docs\notes\ios-design-system-reference.md","13.2","2026-07-26"
"hlooo__iphone liquid display research__CLAUDE.md","hlooo\iphone liquid display research\CLAUDE.md","11.5","2026-07-28"
"hlooo__iphone liquid display research__FIDELITY-ANALYSIS.md","hlooo\iphone liquid display research\FIDELITY-ANALYSIS.md","11.5","2026-07-28"
"hlooo__marketing__APKPURE_SUBMISSION.md","hlooo\marketing\APKPURE_SUBMISSION.md","1.9","2026-07-16"
"hlooo__marketing__GamepadOS_Instagram_Reel_Kit.md","hlooo\marketing\GamepadOS_Instagram_Reel_Kit.md","6","2026-07-06"
"hlooo__marketing__GamepadOS_YouTube_Reveal_Kit.md","hlooo\marketing\GamepadOS_YouTube_Reveal_Kit.md","6.4","2026-06-21"
"hlooo__marketing__UPTODOWN_SUBMISSION.md","hlooo\marketing\UPTODOWN_SUBMISSION.md","3","2026-06-29"
"hlooo__marketing__ad-footage__A_gameplay__code_review.md","hlooo\marketing\ad-footage\A_gameplay\code_review.md","4.6","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__design_review.md","hlooo\marketing\ad-footage\A_gameplay\design_review.md","4.2","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__frame.md","hlooo\marketing\ad-footage\A_gameplay\frame.md","11.7","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__SCRIPT.md","hlooo\marketing\ad-footage\A_gameplay\SCRIPT.md","1.7","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__STORYBOARD.md","hlooo\marketing\ad-footage\A_gameplay\STORYBOARD.md","10.5","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__capture__AGENTS.md","hlooo\marketing\ad-footage\A_gameplay\capture\AGENTS.md","1.6","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__capture__CLAUDE.md","hlooo\marketing\ad-footage\A_gameplay\capture\CLAUDE.md","1.6","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__capture__extracted__asset-descriptions.md","hlooo\marketing\ad-footage\A_gameplay\capture\extracted\asset-descriptions.md","1.5","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__snapshots__descriptions.md","hlooo\marketing\ad-footage\A_gameplay\snapshots\descriptions.md","3.1","2026-07-17"
"hlooo__marketing__ad-footage__A_gameplay__validate_findings__global.md","hlooo\marketing\ad-footage\A_gameplay\validate_findings\global.md","1","2026-07-17"
"hlooo__marketing__ad-footage__reels__controller-replacement__AGENTS.md","hlooo\marketing\ad-footage\reels\controller-replacement\AGENTS.md","6.6","2026-07-18"
"hlooo__marketing__ad-footage__reels__controller-replacement__BRIEF.md","hlooo\marketing\ad-footage\reels\controller-replacement\BRIEF.md","2.5","2026-07-18"
"hlooo__marketing__ad-footage__reels__controller-replacement__CLAUDE.md","hlooo\marketing\ad-footage\reels\controller-replacement\CLAUDE.md","6.6","2026-07-18"
"hlooo__marketing__ad-footage__reels__controller-replacement__.media__index.md","hlooo\marketing\ad-footage\reels\controller-replacement\.media\index.md","0.3","2026-07-18"
"hlooo__releases__archive__README.md","hlooo\releases\archive\README.md","1.9","2026-07-04"
"hlooo__releases__archive__pc-server-python-2026-07-21__SETUP.md","hlooo\releases\archive\pc-server-python-2026-07-21\SETUP.md","2","2026-06-01"
"hlooo__releases__archive__pc-server-python-2026-07-21___PRESERVED_README.md","hlooo\releases\archive\pc-server-python-2026-07-21\_PRESERVED_README.md","3.3","2026-07-21"
"hlooo__releases__store__1.3.0__STORE_LISTING_TEXT.md","hlooo\releases\store\1.3.0\STORE_LISTING_TEXT.md","3","2026-07-08"
"hlooo__releases__store__1.3.1__RELEASE_NOTES.md","hlooo\releases\store\1.3.1\RELEASE_NOTES.md","3.2","2026-07-11"
"hlooo__releases__store__1.3.2__RELEASE_NOTES.md","hlooo\releases\store\1.3.2\RELEASE_NOTES.md","2.2","2026-07-11"
"hlooo__releases__store__1.3.3__RELEASE_NOTES.md","hlooo\releases\store\1.3.3\RELEASE_NOTES.md","2.7","2026-07-12"
"hlooo__releases__store__1.3.4__RELEASE_NOTES.md","hlooo\releases\store\1.3.4\RELEASE_NOTES.md","1.1","2026-07-12"
"hlooo__releases__store__1.3.5__RELEASE_NOTES.md","hlooo\releases\store\1.3.5\RELEASE_NOTES.md","1.6","2026-07-12"
"hlooo__releases__store__1.3.6__RELEASE_NOTES.md","hlooo\releases\store\1.3.6\RELEASE_NOTES.md","1.3","2026-07-13"
"hlooo__releases__store__1.3.7__RELEASE_NOTES.md","hlooo\releases\store\1.3.7\RELEASE_NOTES.md","1.9","2026-07-13"
"hlooo__website__README.md","hlooo\website\README.md","2.9","2026-06-13"
"hlooo__website__backend__INBOUND_EMAIL_SETUP.md","hlooo\website\backend\INBOUND_EMAIL_SETUP.md","2.3","2026-06-12"
"hlooo__website__frontend__STYLEGUIDE.md","hlooo\website\frontend\STYLEGUIDE.md","11.3","2026-08-12"
